chunk,code,archive,status,reason
42,FR-GUADELOUPE,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
42,JP-KANSAI,JP-KANSAI.abm,downloaded,
42,NR,NR.abm,downloaded,
42,TM,TM.abm,downloaded,
43,CA-MANITOBA,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
43,CZ-PARDUBICKY,CZ-PARDUBICKY.abm,downloaded,
43,FR-GUYANE,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
43,JP-KANTO,JP-KANTO.abm,downloaded,
43,NU,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
43,TN,TN.abm,downloaded,
44,CA-NEW-BRUNSWICK,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
44,CZ-PLZENSKY,CZ-PLZENSKY.abm,downloaded,
44,FR-HAUTE-NORMANDIE,FR-HAUTE-NORMANDIE.abm,downloaded,
44,JP-KYUSHU,JP-KYUSHU.abm,downloaded,
44,NZ,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
44,TO,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
45,CA-NEWFOUNDLAND-AND-LABRADOR,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
45,CZ-PRAHA,CZ-PRAHA.abm,downloaded,
45,FR-ILE-DE-FRANCE,FR-ILE-DE-FRANCE.abm,downloaded,
45,JP-SHIKOKU,JP-SHIKOKU.abm,downloaded,
45,PA,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
45,TR,TR.abm,downloaded,
46,CA-NORTHWEST-TERRITORIES,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
46,CZ-STREDOCESKY,CZ-STREDOCESKY.abm,downloaded,
46,FR-LANGUEDOC-ROUSSILLON,FR-LANGUEDOC-ROUSSILLON.abm,downloaded,
46,JP-TOHOKU,JP-TOHOKU.abm,downloaded,
46,PE,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
46,TV,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
47,CA-NOVA-SCOTIA,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
47,CZ-USTECKY,CZ-USTECKY.abm,downloaded,
47,FR-LIMOUSIN,FR-LIMOUSIN.abm,downloaded,
47,KE,KE.abm,downloaded,
47,PG,PG.abm,downloaded,
47,TW,TW.abm,downloaded,
48,CA-NUNAVUT,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
48,CZ-VYSOCINA,CZ-VYSOCINA.abm,downloaded,
48,FR-LORRAINE,FR-LORRAINE.abm,downloaded,
48,KG,KG.abm,downloaded,
48,PH,PH.abm,downloaded,
48,TZ,TZ.abm,downloaded,
49,CA-ONTARIO,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
49,CZ-ZLINSKY,CZ-ZLINSKY.abm,downloaded,
49,FR-MARTINIQUE,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
49,KH,KH.abm,downloaded,
49,PK,PK.abm,downloaded,
49,UA,UA.abm,downloaded,
50,CA-PRINCE-EDWARD-ISLAND,,error,chunk/job failed; see build log
50,DE-BADEN-WUERTTEMBERG,DE-BADEN-WUERTTEMBERG.abm,downloaded,
50,FR-MAYOTTE,FR-MAYOTTE.abm,downloaded,
50,KI,,error,chunk/job failed; see build log
50,PL-DOLNOSLASKIE,PL-DOLNOSLASKIE.abm,downloaded,
50,UG,UG.abm,downloaded,
51,CA-QUEBEC,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
51,DE-BAYERN,DE-BAYERN.abm,downloaded,
51,FR-MIDI-PYRENEES,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
51,KP,KP.abm,downloaded,
51,PL-KUJAWSKO-POMORSKIE,PL-KUJAWSKO-POMORSKIE.abm,downloaded,
51,US-ALASKA,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
52,CA-SASKATCHEWAN,,error,chunk/job failed; see build log
52,DE-BERLIN,DE-BERLIN.abm,downloaded,
52,FR-NORD-PAS-DE-CALAIS,FR-NORD-PAS-DE-CALAIS.abm,downloaded,
52,KR,KR.abm,downloaded,
52,PL-LODZKIE,PL-LODZKIE.abm,downloaded,
54,CD,CD.abm,downloaded,
54,DE-BREMEN,DE-BREMEN.abm,downloaded,
54,FR-PICARDIE,FR-PICARDIE.abm,downloaded,
54,LA,LA.abm,downloaded,
54,PL-LUBUSKIE,PL-LUBUSKIE.abm,downloaded,
54,US-HAWAII,,error,chunk/job failed; see build log
55,CF,CF.abm,downloaded,
55,DE-HAMBURG,DE-HAMBURG.abm,downloaded,
55,FR-POITOU-CHARENTES,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
55,LB,LB.abm,downloaded,
55,PL-MALOPOLSKIE,PL-MALOPOLSKIE.abm,downloaded,
56,CG,CG.abm,downloaded,
56,DE-HESSEN,DE-HESSEN.abm,downloaded,
56,FR-PROVENCE-ALPES-COTE-D-AZUR,FR-PROVENCE-ALPES-COTE-D-AZUR.abm,downloaded,
56,LI,LI.abm,downloaded,
56,PL-MAZOWIECKIE,PL-MAZOWIECKIE.abm,downloaded,
56,UY,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
57,CH,CH.abm,downloaded,
57,DE-MECKLENBURG-VORPOMMERN,DE-MECKLENBURG-VORPOMMERN.abm,downloaded,
57,FR-REUNION,FR-REUNION.abm,downloaded,
57,LK,LK.abm,downloaded,
57,PL-OPOLSKIE,PL-OPOLSKIE.abm,downloaded,
57,UZ,UZ.abm,downloaded,
58,CI,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
58,DE-NIEDERSACHSEN,DE-NIEDERSACHSEN.abm,downloaded,
58,FR-RHONE-ALPES,FR-RHONE-ALPES.abm,downloaded,
58,LR,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
58,PL-PODKARPACKIE,PL-PODKARPACKIE.abm,downloaded,
58,VE,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
59,CK,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
59,DE-NORDRHEIN-WESTFALEN,DE-NORDRHEIN-WESTFALEN.abm,downloaded,
59,GA,GA.abm,downloaded,
59,LS,LS.abm,downloaded,
59,PL-PODLASKIE,PL-PODLASKIE.abm,downloaded,
59,VI,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
60,CL,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
60,DE-RHEINLAND-PFALZ,DE-RHEINLAND-PFALZ.abm,downloaded,
60,GB-BERMUDA,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
60,LT,LT.abm,downloaded,
60,PL-POMORSKIE,PL-POMORSKIE.abm,downloaded,
60,VN,VN.abm,downloaded,
61,CM,CM.abm,downloaded,
61,DE-SAARLAND,DE-SAARLAND.abm,downloaded,
61,GB-ENGLAND,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
61,LU,LU.abm,downloaded,
61,PL-SLASKIE,PL-SLASKIE.abm,downloaded,
61,VU,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
62,CN-ANHUI,CN-ANHUI.abm,downloaded,
62,DE-SACHSEN,DE-SACHSEN.abm,downloaded,
62,GB-FALKLANDS,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
62,LV,LV.abm,downloaded,
62,PL-SWIETOKRZYSKIE,PL-SWIETOKRZYSKIE.abm,downloaded,
62,WS,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
63,CN-BEIJING,CN-BEIJING.abm,downloaded,
63,DE-SACHSEN-ANHALT,DE-SACHSEN-ANHALT.abm,downloaded,
63,GB-SCOTLAND,,error,update_map_manifest.py: --bbox received a negative value as a separate argument
63,LY,LY.abm,downloaded,
63,PL-WARMINSKO-MAZURSKIE,PL-WARMINSKO-MAZURSKIE.abm,downloaded,
63,YE,YE.abm,downloaded,
